Nome do Produto;Descricao do Produto;Fabricante;Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;ID Subcategoria
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey;Cables to go USB 2.0 hard drive enclosure;Contoso, Ltd;Contoso;Econômico;6,07;11,9;837;22
Contoso USB Optical Mouse E200 Gold;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;15,5;838;22
Contoso Reserve Pen - Tablet Pen E200 Gold;Reserve Pen - Tablet Pen;Contoso, Ltd;Contoso;Econômico;7,09;13,9;841;22
Contoso Bright Light battery E20 Black;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;26,9;842;22
Contoso Bright Light battery E20 blue;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;26,9;843;22
Contoso Bright Light battery E20 Pink;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;26,9;844;22
Contoso Lens cap E80 White;Lens cap black;Contoso, Ltd;Contoso;Econômico;15,27;29,95;800;22
Contoso Battery charger - bike E200 White;Primary extended capacity battery pack;Contoso, Ltd;Contoso;Econômico;10,15;19,9;801;22
Contoso USB Optical Mouse E200 White;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;15,5;802;22
Contoso ADSL Modem Splitter/Filter X 1 E100 White;ADSL modem splitter/filter X 1;Contoso, Ltd;Contoso;Econômico;9,13;17,9;803;22
Contoso ADSL Modem Splitter/Filter X 2 E200 White;ADSL modem splitter/filter X 2;Contoso, Ltd;Contoso;Econômico;11,68;22,9;804;22
Contoso ADSL Modem Splitter/Filter X 3 E300 White;ADSL modem splitter/filter X 3;Contoso, Ltd;Contoso;Econômico;26,97;52,9;805;22
Contoso USB Wave Multi-media Keyboard E280 White;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;15,9;806;22
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White;Cables to go USB 2.0 hard drive enclosure;Contoso, Ltd;Contoso;Econômico;6,07;11,9;807;22
Contoso Rechargeable Battery E100 Grey;Rechargeable Battery;Contoso, Ltd;Contoso;Econômico;6,6;12,95;808;22
Contoso Dual USB Power Adapter - power adapter E300 Grey;Dual USB power adapter - power adapter;Contoso, Ltd;Contoso;Econômico;20,34;39,9;809;22
Contoso USB Optical Mouse E200 Black;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;15,5;767;22
Contoso ADSL Modem Splitter/Filter X 1 E100 Black;ADSL modem splitter/filter X 1;Contoso, Ltd;Contoso;Econômico;9,13;17,9;768;22
Contoso ADSL Modem Splitter/Filter X 2 E200 Black;ADSL modem splitter/filter X 2;Contoso, Ltd;Contoso;Econômico;11,68;22,9;769;22
Contoso ADSL Modem Splitter/Filter X 3 E300 Black;ADSL modem splitter/filter X 3;Contoso, Ltd;Contoso;Econômico;26,97;52,9;770;22
Contoso USB Wave Multi-media Keyboard E280 Black;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;15,9;771;22
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black;Cables to go USB 2.0 hard drive enclosure;Contoso, Ltd;Contoso;Econômico;6,07;11,9;772;22
Contoso USB Wave Multi-media Keyboard E280 Blue;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;15,9;773;22
Contoso USB Optical Mouse E200 Blue;USB mouse;Contoso, Ltd;Contoso;Econômico;7,9;15,5;774;22
Contoso Reserve Pen -Tablet Pen E200 Blue;Reserve Pen - Tablet Pen;Contoso, Ltd;Contoso;Econômico;7,09;13,9;777;22
Contoso Rechargeable Battery E100 White;Rechargeable Battery;Contoso, Ltd;Contoso;Econômico;6,6;12,95;778;22
Contoso Dual USB Power Adapter - power adapter E300 White;Dual USB power adapter - power adapter;Contoso, Ltd;Contoso;Econômico;20,34;39,9;779;22
Contoso Mouse Lock Bundle E200 White;Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product;Contoso, Ltd;Contoso;Econômico;6,6;12,95;782;22
Contoso Education Supplies Bundle E200 White;Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers;Contoso, Ltd;Contoso;Econômico;6,88;13,5;783;22
Contoso Desktop Alternative Bundle E200 White;Desktop alternative bundle;Contoso, Ltd;Contoso;Econômico;5,86;11,5;786;22
Contoso Power Inverter - DC to AC power inverter E900 White;Notebook essentials bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Econômico;4,84;9,5;787;22
Contoso Mouse Lock Bundle E200 Grey;Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product;Contoso, Ltd;Contoso;Econômico;6,6;12,95;812;22
Contoso Education Supplies Bundle E200 Grey;Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers;Contoso, Ltd;Contoso;Econômico;6,88;13,5;813;22
Contoso Desktop Alternative Bundle E200 Grey;Desktop alternative bundle;Contoso, Ltd;Contoso;Econômico;5,86;11,5;816;22
Contoso Power Inverter - DC to AC power inverter E900 Grey;Notebook essentials bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Econômico;4,84;9,5;817;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey;Laptop cooling hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Econômico;15,24;29,9;819;22
Contoso Home/Office Laptop Power Adapter E300 Grey;Home/office laptop power adapter;Contoso, Ltd;Contoso;Econômico;13;25,5;820;22
Contoso Rechargeable Battery E100 Black;Rechargeable Battery;Contoso, Ltd;Contoso;Econômico;6,6;12,95;743;22
Contoso Dual USB Power Adapter - power adapter E300 Black;Dual USB power adapter - power adapter;Contoso, Ltd;Contoso;Econômico;20,34;39,9;744;22
Contoso Mouse Lock Bundle E200 Black;Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product;Contoso, Ltd;Contoso;Econômico;6,6;12,95;747;22
Contoso Education Supplies Bundle E200 Black;Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers;Contoso, Ltd;Contoso;Econômico;6,88;13,5;748;22
Contoso Desktop Alternative Bundle E200 Black;Desktop alternative bundle;Contoso, Ltd;Contoso;Econômico;5,86;11,5;751;22
Contoso Power Inverter - DC to AC power inverter E900 Black;Notebook essentials bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Econômico;4,84;9,5;752;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black;Laptop cooling hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Econômico;15,24;29,9;754;22
Contoso Home/Office Laptop Power Adapter E300 Black;Home/office laptop power adapter;Contoso, Ltd;Contoso;Econômico;13;25,5;755;22
Contoso 90W AC/DC Power Adapter E300 Black;Enhanced capacity battery adapter;Contoso, Ltd;Contoso;Econômico;6,07;11,9;759;22
Contoso Reserve Pen - Tablet Pen E200 Black;Reserve pen - tablet pen, connectivity technology, wireless;Contoso, Ltd;Contoso;Econômico;7,09;13,9;760;22
Contoso USB Data Link-direct connect adapter E600 Black;USB data Link - direct connect adapter;Contoso, Ltd;Contoso;Econômico;8,62;16,9;761;22
Contoso Lens cap E80 Black;Lens cap black;Contoso, Ltd;Contoso;Econômico;15,27;29,95;765;22
Contoso Battery charger - bike E200 Black;Primary extended capacity battery pack -for bike;Contoso, Ltd;Contoso;Econômico;10,15;19,9;766;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White;Laptop cooling hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Econômico;15,24;29,9;789;22
Contoso Home/Office Laptop Power Adapter E300 White;Home/office laptop power adapter;Contoso, Ltd;Contoso;Econômico;13;25,5;790;22
Contoso 90W AC/DC Power Adapter E300 White;Enhanced capacity battery adapter;Contoso, Ltd;Contoso;Econômico;6,07;11,9;794;22
Contoso Reserve Pen - Tablet Pen E200 White;Reserve pen - tablet pen, connectivity technology, wireless;Contoso, Ltd;Contoso;Econômico;7,09;13,9;795;22
Contoso USB Data Link - direct connect adapter E600 White;USB data Link - direct connect adapter;Contoso, Ltd;Contoso;Econômico;8,62;16,9;796;22
Contoso 90W AC/DC Power Adapter E300 Grey;Enhanced capacity battery adapter;Contoso, Ltd;Contoso;Econômico;6,07;11,9;824;22
Contoso Reserve Pen - Tablet Pen E200 Grey;Reserve pen - tablet pen, connectivity technology, wireless;Contoso, Ltd;Contoso;Econômico;7,09;13,9;825;22
Contoso USB Data Link - direct connect adapter E600 Grey;USB data Link - direct connect adapter;Contoso, Ltd;Contoso;Econômico;8,62;16,9;826;22
Contoso Lens cap E80 Grey;Lens cap black;Contoso, Ltd;Contoso;Econômico;15,27;29,95;830;22
Contoso Battery charger - bike E200 Grey;imary extended capacity battery pack;Contoso, Ltd;Contoso;Econômico;10,15;19,9;831;22
Contoso USB Optical Mouse E200 Grey;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;15,5;832;22
Contoso Bright Light battery E20 White;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;26,9;845;22
Contoso Ultraportable Neoprene Sleeve E30 Black;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;15,6;846;22
Contoso Ultraportable Neoprene Sleeve E30 Pink;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;15,6;847;22
Contoso Ultraportable Neoprene Sleeve E30 Yellow;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;15,6;848;22
Contoso Ultraportable Neoprene Sleeve E30 Green;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;Contoso, Ltd;Contoso;Econômico;7,95;15,6;849;22
Contoso Wireless Laser Mouse E50 Black;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;20,96;870;22
Contoso Wireless Laser Mouse E50 White;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;20,96;871;22
Contoso Wireless Laser Mouse E50 Silver;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;20,96;872;22
Contoso Wireless Notebook Optical Mouse X205 Black;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;129,95;874;22
Contoso Wireless Notebook Optical Mouse X205 White;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;129,95;875;22
Contoso Wireless Notebook Optical Mouse X205 Blue;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;129,95;876;22
Contoso Wireless Notebook Optical Mouse X205 Silver;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;129,95;877;22
Contoso Wireless Notebook Optical Mouse X205 Orange;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Luxo;43,06;129,95;878;22
Contoso Bluetooth Notebook Mouse X305 Black;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;150;883;22
Contoso Bluetooth Notebook Mouse X305 White;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;150;884;22
Contoso Bluetooth Notebook Mouse X305 Silver;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;150;885;22
Contoso Bluetooth Notebook Mouse X305 Grey;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Luxo;49,7;150;886;22
Contoso USB Wave Multi-Media Keyboard M901 Gold;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Regular;11,91;25,9;839;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold;Golden laptop cooling Hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Regular;18,35;39,9;840;22
Contoso Leather Case - case for digital photo camera X20 White;Leather case for digital photo camera;Contoso, Ltd;Contoso;Luxo;13,22;39,9;799;22
Contoso Smart Battery M901 Blue;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;11,5;775;22
Contoso Digital Camera Accessory kit M200 Blue;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;23,9;776;22
Contoso Car power adapter M90 White;Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged.;Contoso, Ltd;Contoso;Regular;9,17;19,95;780;22
Contoso Notebook Peripheral Kit M69 White;It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe;Contoso, Ltd;Contoso;Regular;7,59;16,5;781;22
Contoso Laptop Starter Bundle M200 White;Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need;Contoso, Ltd;Contoso;Regular;7,59;16,5;784;22
Contoso Education Essentials Bundle M300 White;Education messenger essentials Bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Regular;4,37;9,5;785;22
Contoso Smart Battery M901 White;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;11,5;788;22
Contoso Car power adapter M90 Grey;Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged.;Contoso, Ltd;Contoso;Regular;9,17;19,95;810;22
Contoso Notebook Peripheral Kit M69 Grey;It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe;Contoso, Ltd;Contoso;Regular;7,59;16,5;811;22
Contoso Laptop Starter Bundle M200 Grey;Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need;Contoso, Ltd;Contoso;Regular;7,59;16,5;814;22
Contoso Education Essentials Bundle M300 Grey;Education messenger essentials Bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Regular;4,37;9,5;815;22
Contoso Smart Battery M901 Grey;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;11,5;818;22
Contoso Car power adapter M90 Black;Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged;Contoso, Ltd;Contoso;Regular;9,17;19,95;745;22
Contoso Notebook Peripheral Kit M69 Black;It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe;Contoso, Ltd;Contoso;Regular;7,59;16,5;746;22
Contoso Laptop Starter Bundle M200 Black;Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need;Contoso, Ltd;Contoso;Regular;7,59;16,5;749;22
Contoso Education Essentials Bundle M300 Black;Education messenger essentials Bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Regular;4,37;9,5;750;22
Contoso Smart Battery M901 Black;Smart battery - memory backup battery;Contoso, Ltd;Contoso;Regular;5,29;11,5;753;22
Contoso USB 2.0 Dock Station docking station M800 Black;USB 2.0 dock station docking station;Contoso, Ltd;Contoso;Regular;13,75;29,9;756;22
Contoso Enhanced Capacity Battery M800 Black;Home office enhanced capacity battery;Contoso, Ltd;Contoso;Regular;12,83;27,9;757;22
Contoso Connectivity Starter Kit Smart Buy M680 Black;Connectivity starter kit smart buy;Contoso, Ltd;Contoso;Regular;12,83;27,9;758;22
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black;Primary extended capacity battery pack - notebook battery;Contoso, Ltd;Contoso;Luxo;11,23;33,9;762;22
Contoso Digital camera accessory kit M200 Black;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;23,9;763;22
Contoso Leather Case - case for digital photo camera X20 Black;Leather Case - case for digital photo camera;Contoso, Ltd;Contoso;Luxo;13,22;39,9;764;22
Contoso USB 2.0 Dock Station docking station M800 White;USB 2.0 dock station docking station;Contoso, Ltd;Contoso;Regular;13,75;29,9;791;22
Contoso Enhanced Capacity Battery M800 White;Home office enhanced capacity battery;Contoso, Ltd;Contoso;Regular;12,83;27,9;792;22
Contoso Connectivity Starter Kit Smart Buy M680 White;Connectivity starter kit smart buy;Contoso, Ltd;Contoso;Regular;12,83;27,9;793;22
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White;Primary extended capacity battery pack - notebook battery;Contoso, Ltd;Contoso;Luxo;11,23;33,9;797;22
Contoso Digital camera accessory kit M200 White;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;23,9;798;22
Contoso USB 2.0 Dock Station docking station M800 Grey;USB 2.0 dock station docking station;Contoso, Ltd;Contoso;Regular;13,75;29,9;821;22
Contoso Enhanced Capacity Battery M800 Grey;Home office enhanced capacity battery;Contoso, Ltd;Contoso;Regular;12,83;27,9;822;22
Contoso Connectivity Starter Kit Smart Buy M680 Grey;Connectivity starter kit smart buy;Contoso, Ltd;Contoso;Regular;12,83;27,9;823;22
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey;Primary extended capacity battery pack - notebook battery;Contoso, Ltd;Contoso;Luxo;11,23;33,9;827;22
Contoso Digital camera accessory kit M200 Grey;Digital camera accessory kit;Contoso, Ltd;Contoso;Regular;10,99;23,9;828;22
Contoso Leather Case - case for digital photo camera X20 Grey;Leather case for digital photo camera;Contoso, Ltd;Contoso;Luxo;13,22;39,9;829;22
Contoso Laptop Keyboard X105 Black;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;230,9;850;22
Contoso Laptop Keyboard X105 White;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;230,9;851;22
Contoso Laptop Keyboard X105 Brown;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;230,9;852;22
Contoso Laptop Keyboard X105 Silver;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;Contoso, Ltd;Contoso;Luxo;76,5;230,9;853;22
Contoso Multimedia Speakers M25 Brown;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;129;854;22
Contoso Multimedia Speakers M25 Blue;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;129;855;22
Contoso Multimedia Speakers M25 Black;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;129;856;22
Contoso Multimedia Speakers M25 White;Speakers system is the perfect audio companion to your PC or notebook;Contoso, Ltd;Contoso;Regular;59,32;129;857;22
Contoso Wireless Notebook Optical Mouse M35 Black;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;29,95;858;22
Contoso Wireless Notebook Optical Mouse M35 White;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;29,95;859;22
Contoso Wireless Notebook Optical Mouse M35 Blue;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;29,95;860;22
Contoso Wireless Notebook Optical Mouse M35 Silver;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;29,95;861;22
Contoso Wireless Notebook Optical Mouse M35 Orange;Wireless notebook mouse, long battery life, convenient snap-in receiver;Contoso, Ltd;Contoso;Regular;13,77;29,95;862;22
Contoso Optical USB Mouse M45 Black;An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use;Contoso, Ltd;Contoso;Regular;23,45;50,99;863;22
Contoso Optical USB Mouse M45 White;An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use;Contoso, Ltd;Contoso;Regular;23,45;50,99;864;22
Contoso Optical USB Mouse M45 Grey;An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use;Contoso, Ltd;Contoso;Regular;23,45;50,99;865;22
Contoso Wireless Laser Mouse M55 Black;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;69,99;866;22
Contoso Wireless Laser Mouse M55 White;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;69,99;867;22
Contoso Wireless Laser Mouse M55 Grey;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;69,99;868;22
Contoso Wireless Laser Mouse M55 Silver;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Regular;32,19;69,99;869;22
Contoso Multi-line phones M30 White;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;22,99;1352;29
Contoso KSU-less key system M38 White;Enjoy unlimited US calling, exceptional voice quality;Contoso, Ltd;Contoso;Regular;12,41;26,99;1353;29
Contoso Hybrid system M60 White;Dual Keypad, talking caller ID, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;13,33;28,99;1354;29
Contoso Private Branch Exchange M88 White;Caller ID feature, Lighted keypad, handset speakerphone;Contoso, Ltd;Contoso;Regular;15,17;32,99;1355;29
Contoso 4 Handset Cordless Phone System M86 White;Lighted keypad, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;16,55;35,99;1356;29
Contoso Private Automatic Branch Exchange M65 White;Digital answering machine with 16 minutes recording time;Contoso, Ltd;Contoso;Regular;17,93;38,99;1357;29
Contoso Electronic Private Automatic Branch Exchange M90 White;Phonebook directory with memory for 20 entries silver;Contoso, Ltd;Contoso;Regular;18,39;39,99;1358;29
Contoso Centrex Phone System L10 White;5.8 GHz frequency that won't interfere with wireless networks, caller ID/Call waiting compatible with memory for last 45 callers;Contoso, Ltd;Contoso;Luxo;14,24;42,99;1359;29
Contoso In front of Centrex L15 White;Lighted keypad, caller ID, 3-way conferencing, expandable up to 6 handsets;Contoso, Ltd;Contoso;Luxo;15,57;46,99;1360;29
Contoso Behind Centrex X15 White;LCD screen for viewing contacts, compatible with PCs, plug into USB port for use;Contoso, Ltd;Contoso;Luxo;16,56;49,99;1361;29
Contoso Phone with 13-Number Memory (210) M301 White;Phone with 13-number memory (210);Contoso, Ltd;Contoso;Regular;7,81;16,99;1362;29
Contoso Expandable Cordless Phone System M008 White;Special backlit keypad, receiver volume control, handset volume control;Contoso, Ltd;Contoso;Regular;10,57;22,99;1363;29
Contoso Single-line phones E10 Black;1-line operation, LCD display - monochrome;Contoso, Ltd;Contoso;Econômico;5,09;9,99;1316;29
Contoso Dual Handset Cordless Phone System  E20 Black;Dual handset cordless phone system with answering system;Contoso, Ltd;Contoso;Econômico;6,62;12,99;1317;29
Contoso 3 Handset Cordless Phone System  E30 Black;16-minute all-digital answering system, wireless network friendly;Contoso, Ltd;Contoso;Econômico;8,66;16,99;1318;29
Contoso Multi-line phones M30 Black;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;22,99;1319;29
Contoso KSU-less key system M38 Black;Enjoy unlimited US calling, exceptional voice quality;Contoso, Ltd;Contoso;Regular;12,41;26,99;1320;29
Contoso Hybrid system M60 Black;Dual Keypad, talking caller ID, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;13,33;28,99;1321;29
Contoso Private Branch Exchange M88 Black;Caller ID feature, lighted key pad ,handset speakerphone;Contoso, Ltd;Contoso;Regular;15,17;32,99;1322;29
Contoso 4 Handset Cordless Phone System M86 Black;Lighted keypad, handset speaker phone, expandable up to 6 handsets;Contoso, Ltd;Contoso;Regular;16,55;35,99;1323;29
Contoso Private Automatic Branch Exchange M65 Black;Digital answering machine with 16 minutes recording time;Contoso, Ltd;Contoso;Regular;17,93;38,99;1324;29
Contoso Electronic Private Automatic Branch Exchange M90 Black;Phonebook directory with memory for 20 entries;Contoso, Ltd;Contoso;Regular;18,39;39,99;1325;29
Contoso Centrex Phone System L10 Black;5.8 GHz frequency that won't interfere with wireless networks, caller ID/Call waiting compatible with memory for last 45 callers;Contoso, Ltd;Contoso;Luxo;14,24;42,99;1326;29
Contoso In front of Centrex L15 Black;Lighted keypad, caller ID, 3-way conferencing, expandable up to 6 handsets;Contoso, Ltd;Contoso;Luxo;15,57;46,99;1327;29
Contoso behind Centrex X15 Black;LCD screen for viewing contacts, compatible with PCs, plug into USB port for use;Contoso, Ltd;Contoso;Luxo;16,56;49,99;1328;29
Contoso Phone with 13-Number Memory (210) M301 Black;Phone with 13-number memory (210);Contoso, Ltd;Contoso;Regular;7,81;16,99;1329;29
Contoso Expandable Cordless Phone System M008 Black;Special backlit keypad, receiver volume control, handset volume control;Contoso, Ltd;Contoso;Regular;10,57;22,99;1330;29
Contoso Phone System Accessory Handset with Charger M308 Black;Built-in 60-minute digital answering machine;Contoso, Ltd;Contoso;Regular;12,41;26,99;1331;29
Contoso 2-Line Corded Cordless Telephone M202 Black;Digital duplex speakerphones built into back of handset, built-in clock with alarm on handset;Contoso, Ltd;Contoso;Regular;13,33;28,99;1332;29
