,IDCliente,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalGasto,Churn,Codigo
4122,4632-XJMEX,Masculino,0,Nao,Sim,53,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Anual,Nao,CartaoCredito,62.85,3419.5,Nao,
5261,1409-PHXTF,Masculino,1,Sim,Nao,54,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,110.45,6077.75,Nao,
3479,8229-TNIQA,Feminino,0,Nao,Nao,4,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,45.3,196.95,Sim,
1498,0529-ONKER,Masculino,1,Nao,Nao,15,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,75.65,1146.65,Sim,
254,3675-YDUPJ,Masculino,0,Nao,Nao,10,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.85,193.05,Nao,
3016,4484-CGXFK,Feminino,0,Nao,Nao,3,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,55.3,196.15,Sim,
221,4443-EMBNA,Feminino,0,Sim,Nao,71,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,24.75,1836.9,Nao,
3794,4280-DLSHD,Masculino,0,Sim,Nao,8,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,54.75,445.85,Nao,
4800,9300-AGZNL,Masculino,1,Nao,Nao,1,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.0,94,Sim,
4291,2789-CZANW,Feminino,0,Sim,Sim,64,Sim,Sim,Fibra,Sim,Sim,Nao,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,110.3,6997.3,Nao,
5807,8464-EETCQ,Masculino,0,Nao,Nao,57,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,18.8,1094.35,Nao,
2208,7216-EWTRS,Feminino,1,Sim,Nao,1,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,100.8,100.8,Sim,
1195,4468-KAZHE,Feminino,1,Sim,Nao,20,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,60.0,1259.35,Nao,
1782,8623-ULFNQ,Feminino,1,Nao,Nao,26,Sim,Sim,DSL,Nao,Nao,Nao,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,66.05,1652.4,Nao,
6552,9317-WZPGV,Feminino,1,Nao,Nao,2,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,79.75,159.4,Sim,
1320,8947-YRTDV,Masculino,0,Sim,Sim,32,Sim,Nao,Fibra,Sim,Sim,Sim,Nao,Nao,Sim,Anual,Nao,BoletoImpresso,94.8,3131.55,Nao,
3765,1814-DKOLC,Feminino,0,Nao,Nao,5,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,25.45,134.75,Nao,
6799,8071-SBTRN,Feminino,0,Nao,Nao,70,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Sim,2 anos,Sim,BoletoImpresso,111.15,7737.55,Nao,
2488,4701-MLJPN,Masculino,0,Nao,Nao,31,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,55.25,1715.65,Sim,
1578,1205-WNWPJ,Feminino,0,Nao,Nao,7,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoImpresso,59.5,415.95,Sim,
376,6158-HDPXZ,Masculino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,25.35,25.35,Nao,
755,6683-VLCTZ,Masculino,1,Nao,Nao,20,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,98.55,1842.8,Sim,
291,3727-OWVYD,Masculino,0,Nao,Nao,35,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Anual,Nao,BoletoImpresso,61.2,2021.2,Nao,
5910,0856-NAOES,Masculino,0,Nao,Nao,6,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Sim,Nao,Mensal,Nao,BoletoImpresso,60.9,414.1,Nao,
4914,0562-FGDCR,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Nao,2 anos,Nao,BoletoImpresso,74.55,5430.65,Nao,
188,0956-SYCWG,Feminino,0,Nao,Nao,13,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoEletronico,19.65,244.8,Nao,
4382,2277-VWCNI,Feminino,1,Nao,Nao,4,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,48.75,179.85,Nao,
1419,3498-LZGQZ,Masculino,0,Sim,Sim,63,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,19.15,1177.05,Nao,
2476,9135-MGVPY,Masculino,0,Sim,Nao,69,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoImpresso,84.7,5878.9,,
3945,3815-SLMEF,Feminino,0,Nao,Nao,3,Nao,SemTelefone,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensal,Nao,BoletoImpresso,34.25,139.35,Sim,
501,4513-CXYIX,Feminino,1,Sim,Nao,71,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,2 anos,Sim,CartaoCredito,80.7,5676,Nao,
1197,8944-AILEF,Masculino,0,Sim,Nao,15,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,CartaoCredito,19.45,340.85,Nao,
5327,1270-XKUCC,Feminino,0,Sim,Sim,30,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.7,599.25,Nao,
6983,6633-SYEUS,Feminino,0,Nao,Nao,23,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Nao,Nao,Mensal,Nao,DebitoAutomatico,83.2,2032.3,Nao,
5267,8075-GXIUB,Masculino,1,Sim,Nao,9,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,CartaoCredito,19.85,183.15,Nao,
4119,6016-NXBNJ,Masculino,0,Nao,Nao,35,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,19.15,638,Nao,
6517,9332-GYWLO,Feminino,0,Sim,Sim,6,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,54.85,355.1,Nao,
672,3276-HDUEG,Feminino,0,Nao,Nao,1,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,75.05,75.05,Sim,
3984,5884-FBCTL,Feminino,0,Sim,Sim,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,25.1,1857.85,Nao,
1374,8999-YPYBV,Masculino,0,Sim,Sim,45,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoImpresso,84.35,3858.05,Nao,
5975,1522-VVDMG,Masculino,0,Sim,Sim,7,Sim,Nao,Fibra,Nao,Sim,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoEletronico,89.75,608.8,Sim,
6367,0848-SOMKO,Masculino,0,Nao,Nao,70,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Nao,Sim,2 anos,Nao,DebitoAutomatico,48.4,3442.8,Nao,
2178,1657-DYMBM,Masculino,0,Sim,Nao,53,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.9,1110.05,Nao,
5516,6923-EFPNL,Masculino,0,Nao,Nao,4,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,51.75,201.1,Sim,
4270,2167-FQSTQ,Feminino,0,Sim,Nao,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,92.4,6786.1,Nao,
216,9286-BHDQG,Masculino,0,Sim,Sim,72,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,CartaoCredito,45.25,3139.8,Nao,
3954,7225-CBZPL,Masculino,1,Sim,Nao,17,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.8,1563.9,Nao,
421,5605-IYGFG,Feminino,0,Nao,Nao,7,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,69.85,515.45,Nao,
5099,6861-OKBCE,Feminino,0,Nao,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,CartaoCredito,20.1,221.35,Sim,
4664,7571-YXDAD,Feminino,0,Nao,Nao,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,74.9,147.15,Sim,
5028,0254-FNMCI,Feminino,0,Nao,Nao,72,Sim,Nao,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,109.9,7624.2,Nao,
506,8981-FJGLA,Masculino,0,Nao,Sim,11,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,78.0,851.8,Nao,
3467,8414-MYSHR,Masculino,1,Nao,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,91.4,449.75,Sim,
6809,9274-CNFMO,Masculino,1,Sim,Nao,4,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,74.95,308.7,Sim,
1544,3794-NFNCH,Masculino,0,Sim,Nao,30,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,50.0,1474.9,Nao,
1315,5158-RIVOP,Feminino,0,Sim,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,20.9,202.3,Nao,
4537,1100-DDVRV,Masculino,0,Sim,Nao,17,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoImpresso,49.8,836.35,Nao,
4054,9522-BNTHX,Feminino,1,Nao,Nao,34,Nao,SemTelefone,DSL,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,56.25,1765.95,Nao,
3043,3677-IYRBF,Feminino,1,Nao,Nao,2,Nao,SemTelefone,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,30.4,78.65,Sim,
2799,7009-PCARS,Masculino,0,Nao,Sim,55,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,19.1,1001.5,Nao,
2641,8250-ZNGGW,Feminino,1,Nao,Nao,5,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Mensal,Nao,CartaoCredito,59.9,287.85,Nao,
4498,0967-BMLBD,Feminino,0,Sim,Sim,11,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,20.0,196.35,Nao,
3551,7594-RQHXR,Feminino,0,Nao,Sim,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,79.6,79.6,Sim,
347,8966-SNIZF,Feminino,0,Sim,Nao,70,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,19.45,1303.5,Nao,
6529,7235-NXZCP,Masculino,1,Nao,Nao,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,74.85,156.4,Sim,
333,0122-OAHPZ,Feminino,0,Nao,Nao,7,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,73.85,511.25,Sim,
6830,7815-PDTHL,Masculino,0,Nao,Nao,35,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,20.2,684.4,Nao,
6056,8331-ZXFOE,Feminino,0,Nao,Nao,58,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Anual,Sim,CartaoCredito,71.1,4299.2,Nao,
6154,8901-UPRHR,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,109.2,7711.45,Nao,
5422,3563-SVYLG,Masculino,0,Sim,Sim,68,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,CartaoCredito,62.65,4375.8,Nao,
6592,3205-MXZRA,Masculino,0,Nao,Nao,26,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Nao,Anual,Nao,CartaoCredito,59.45,1507,Nao,
6955,5392-AKEMH,Feminino,0,Nao,Nao,12,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,45.05,523.1,Nao,
1922,8201-AAXCB,Masculino,0,Sim,Sim,25,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,60.35,1404.65,Nao,
746,6919-ELBGL,Masculino,1,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,114.95,8196.4,Nao,
6910,0530-IJVDB,Masculino,0,Nao,Sim,70,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,114.6,7882.5,Nao,
1670,5047-LHVLY,Masculino,1,Nao,Sim,1,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,50.15,50.15,Sim,
6618,8404-FYDIB,Masculino,0,Nao,Nao,26,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,86.65,2208.75,Nao,
4059,3415-TAILE,Feminino,0,Sim,Sim,2,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,65.7,134.35,Sim,
4271,2819-GWENI,Feminino,0,Sim,Sim,28,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,19.9,543,Nao,
2473,6164-HXUGH,Feminino,0,Sim,Sim,6,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.85,119.3,Nao,
4048,6762-QVYJO,Feminino,0,Sim,Sim,58,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Nao,BoletoImpresso,59.75,3624.35,Nao,
259,5046-NUHWD,Feminino,1,Sim,Nao,29,Nao,SemTelefone,DSL,Sim,Nao,Sim,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,45.0,1228.65,Nao,
1741,0106-GHRQR,Masculino,0,Nao,Nao,16,Sim,Sim,DSL,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,71.4,1212.1,Nao,
3829,8374-XGEJJ,Masculino,1,Sim,Nao,43,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,101.0,4388.4,Sim,
2020,2546-KZAAT,Masculino,0,Sim,Nao,52,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Sim,BoletoImpresso,75.4,3865.45,Nao,
4586,7569-NMZYQ,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,118.75,8672.45,Nao,
1860,3279-DYZQM,Masculino,0,Sim,Sim,71,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.45,1378.45,Nao,
599,0374-FIUCA,Masculino,0,Sim,Nao,65,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,CartaoCredito,20.4,1414.45,Nao,
45,3714-NTNFO,Feminino,0,Nao,Nao,49,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,84.5,3906.7,Nao,
4622,8705-DWKTI,Masculino,0,Nao,Nao,52,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Sim,CartaoCredito,83.8,4331.4,Nao,
6277,4195-SMMNX,Masculino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.35,33.2,Sim,
5022,2599-CIPQE,Masculino,0,Sim,Sim,71,Sim,Nao,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,CartaoCredito,109.3,7782.85,Nao,
6919,5136-GFPMB,Masculino,0,Nao,Nao,54,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Nao,CartaoCredito,89.4,4869.5,Nao,
5701,6476-YHMGA,Feminino,0,Sim,Sim,15,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Nao,DebitoAutomatico,76.5,1155.6,Nao,
1221,3055-MJDSB,Masculino,0,Nao,Nao,9,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,24.6,190.1,Nao,
2458,7516-GMHUV,Masculino,1,Sim,Nao,50,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,2 anos,Sim,CartaoCredito,105.05,5163.3,Nao,
